Site,DateTime,Water_Pres_psi,Water_Temp_F,Barom_Pres_psi,Air_Temp_F,Water_Level_ft,Water_Level_NoIce_ft,Filter_Ice,Notes
Hitching Post,8/9/2020 14:00,11.43,67.22,11.15,96.75,0.99,0.99,0,
Hitching Post,8/9/2020 15:00,11.42,67.74,11.14,101.28,0.96,0.96,0,
Hitching Post,8/9/2020 16:00,11.41,67.05,11.14,101.48,0.94,0.94,0,
Hitching Post,8/9/2020 17:00,11.41,66.54,11.13,89.38,0.94,0.94,0,
Hitching Post,8/9/2020 18:00,11.41,65.17,11.13,80.74,0.94,0.94,0,
Hitching Post,8/9/2020 19:00,11.41,63.46,11.13,77.05,0.94,0.94,0,
Hitching Post,8/9/2020 20:00,11.42,62.08,11.14,71.51,0.94,0.94,0,
Hitching Post,8/9/2020 21:00,11.42,60.88,11.14,62.43,0.95,0.95,0,
Hitching Post,8/9/2020 22:00,11.43,60.02,11.15,54.67,0.97,0.97,0,
Hitching Post,8/9/2020 23:00,11.43,59.51,11.15,48.70,0.98,0.98,0,
Hitching Post,8/10/2020 0:00,11.44,58.99,11.16,45.29,0.98,0.98,0,
Hitching Post,8/10/2020 1:00,11.44,58.65,11.16,44.74,0.98,0.98,0,
Hitching Post,8/10/2020 2:00,11.44,58.30,11.16,42.18,0.97,0.97,0,
Hitching Post,8/10/2020 3:00,11.44,57.96,11.16,40.51,0.98,0.98,0,
Hitching Post,8/10/2020 4:00,11.44,57.61,11.16,39.01,0.98,0.98,0,
Hitching Post,8/10/2020 5:00,11.44,57.44,11.17,38.63,0.99,0.99,0,
Hitching Post,8/10/2020 6:00,11.45,56.92,11.18,36.72,1.01,1.01,0,
Hitching Post,8/10/2020 7:00,11.46,56.58,11.18,36.72,1.02,1.02,0,
Hitching Post,8/10/2020 8:00,11.46,56.58,11.18,39.20,1.02,1.02,0,
Hitching Post,8/10/2020 9:00,11.46,57.96,11.18,45.65,1.02,1.02,0,
Hitching Post,8/10/2020 10:00,11.45,59.85,11.17,54.84,1.01,1.01,0,
Hitching Post,8/10/2020 11:00,11.44,62.25,11.17,67.05,1.00,1.00,0,
Hitching Post,8/10/2020 12:00,11.44,64.48,11.16,78.98,0.99,0.99,0,
Hitching Post,8/10/2020 13:00,11.43,66.02,11.15,86.46,0.98,0.98,0,
Hitching Post,8/10/2020 14:00,11.42,67.05,11.14,96.56,0.97,0.97,0,
Hitching Post,8/10/2020 15:00,11.41,66.88,11.13,95.78,0.94,0.94,0,
Hitching Post,8/10/2020 16:00,11.41,65.85,11.13,92.93,0.93,0.93,0,
Hitching Post,8/10/2020 17:00,11.40,65.00,11.12,87.92,0.92,0.92,0,
Hitching Post,8/10/2020 18:00,11.40,63.11,11.12,77.40,0.91,0.91,0,
Hitching Post,8/10/2020 19:00,11.40,61.57,11.12,74.45,0.90,0.90,0,
Hitching Post,8/10/2020 20:00,11.40,60.54,11.12,68.76,0.90,0.90,0,
Hitching Post,8/10/2020 21:00,11.41,59.85,11.13,62.77,0.91,0.91,0,
Hitching Post,8/10/2020 22:00,11.41,59.34,11.14,58.30,0.93,0.93,0,
Hitching Post,8/10/2020 23:00,11.42,58.99,11.13,54.15,0.93,0.93,0,
Hitching Post,8/11/2020 0:00,11.41,58.65,11.14,49.94,0.93,0.93,0,
Hitching Post,8/11/2020 1:00,11.42,58.30,11.14,46.91,0.93,0.93,0,
Hitching Post,8/11/2020 2:00,11.42,57.96,11.14,45.29,0.93,0.93,0,
Hitching Post,8/11/2020 3:00,11.42,57.79,11.14,44.74,0.93,0.93,0,
Hitching Post,8/11/2020 4:00,11.42,57.61,11.14,44.01,0.94,0.94,0,
Hitching Post,8/11/2020 5:00,11.42,57.44,11.15,43.10,0.94,0.94,0,
Hitching Post,8/11/2020 6:00,11.43,57.27,11.15,41.25,0.95,0.95,0,
Hitching Post,8/11/2020 7:00,11.43,56.92,11.16,40.51,0.96,0.96,0,
Hitching Post,8/11/2020 8:00,11.43,57.10,11.15,44.56,0.96,0.96,0,
Hitching Post,8/11/2020 9:00,11.43,58.48,11.16,51.17,0.95,0.95,0,
Hitching Post,8/11/2020 10:00,11.42,60.54,11.15,58.82,0.95,0.95,0,
Hitching Post,8/11/2020 11:00,11.41,62.77,11.14,70.82,0.94,0.94,0,
Hitching Post,8/11/2020 12:00,11.40,65.17,11.13,80.74,0.92,0.92,0,
Hitching Post,8/11/2020 13:00,11.40,66.71,11.12,86.82,0.91,0.91,0,
Hitching Post,8/11/2020 14:00,11.39,66.71,11.11,91.05,0.89,0.89,0,
Hitching Post,8/11/2020 15:00,11.39,65.68,11.11,93.87,0.89,0.89,0,
Hitching Post,8/11/2020 16:00,11.39,65.17,11.11,93.12,0.88,0.88,0,
Hitching Post,8/11/2020 17:00,11.38,64.31,11.10,87.00,0.87,0.87,0,
Hitching Post,8/11/2020 18:00,11.38,63.11,11.10,79.15,0.86,0.86,0,
Hitching Post,8/11/2020 19:00,11.38,61.74,11.10,75.48,0.85,0.85,0,
Hitching Post,8/11/2020 20:00,11.39,60.54,11.11,67.39,0.88,0.88,0,
Hitching Post,8/11/2020 21:00,11.40,59.68,11.12,62.08,0.90,0.90,0,
Hitching Post,8/11/2020 22:00,11.41,59.16,11.13,55.02,0.91,0.91,0,
Hitching Post,8/11/2020 23:00,11.41,58.65,11.13,49.05,0.92,0.92,0,
Hitching Post,8/12/2020 0:00,11.42,58.13,11.14,44.92,0.93,0.93,0,
Hitching Post,8/12/2020 1:00,11.42,57.79,11.14,41.81,0.93,0.93,0,
Hitching Post,8/12/2020 2:00,11.42,57.44,11.14,42.55,0.94,0.94,0,
Hitching Post,8/12/2020 3:00,11.42,57.27,11.14,40.88,0.94,0.94,0,
Hitching Post,8/12/2020 4:00,11.42,56.92,11.15,37.49,0.95,0.95,0,
Hitching Post,8/12/2020 5:00,11.43,56.58,11.15,35.76,0.95,0.95,0,
Hitching Post,8/12/2020 6:00,11.43,56.06,11.16,34.98,0.96,0.96,0,
Hitching Post,8/12/2020 7:00,11.44,55.71,11.16,35.18,0.97,0.97,0,
Hitching Post,8/12/2020 8:00,11.44,55.88,11.16,38.25,0.97,0.97,0,
Hitching Post,8/12/2020 9:00,11.44,57.10,11.16,45.10,0.97,0.97,0,
Hitching Post,8/12/2020 10:00,11.43,59.34,11.15,55.88,0.96,0.96,0,
Hitching Post,8/12/2020 11:00,11.42,62.08,11.15,70.65,0.95,0.95,0,
Hitching Post,8/12/2020 12:00,11.42,63.97,11.14,78.62,0.95,0.95,0,
Hitching Post,8/12/2020 13:00,11.42,63.80,11.14,78.98,0.95,0.95,0,
Hitching Post,8/12/2020 14:00,11.41,65.17,11.13,93.12,0.93,0.93,0,
Hitching Post,8/12/2020 15:00,11.40,65.51,11.13,96.56,0.91,0.91,0,
Hitching Post,8/12/2020 16:00,11.39,65.17,11.12,95.78,0.89,0.89,0,
Hitching Post,8/12/2020 17:00,11.39,63.46,11.11,83.76,0.89,0.89,0,
Hitching Post,8/12/2020 18:00,11.39,62.08,11.11,77.75,0.89,0.89,0,
Hitching Post,8/12/2020 19:00,11.40,61.05,11.12,73.41,0.89,0.89,0,
Hitching Post,8/12/2020 20:00,11.40,60.20,11.13,65.85,0.90,0.90,0,
Hitching Post,8/12/2020 21:00,11.42,59.16,11.14,59.51,0.94,0.94,0,
Hitching Post,8/12/2020 22:00,11.43,58.65,11.14,53.27,0.95,0.95,0,
Hitching Post,8/12/2020 23:00,11.44,58.30,11.15,48.34,0.97,0.97,0,
Hitching Post,8/13/2020 0:00,11.44,57.96,11.15,46.19,0.98,0.98,0,
Hitching Post,8/13/2020 1:00,11.44,57.61,11.16,44.56,0.98,0.98,0,
Hitching Post,8/13/2020 2:00,11.44,57.27,11.16,42.36,0.98,0.98,0,
Hitching Post,8/13/2020 3:00,11.45,56.92,11.17,39.57,1.00,1.00,0,
Hitching Post,8/13/2020 4:00,11.45,56.58,11.17,37.49,1.01,1.01,0,
Hitching Post,8/13/2020 5:00,11.46,56.23,11.17,35.95,1.02,1.02,0,
Hitching Post,8/13/2020 6:00,11.46,55.88,11.18,34.20,1.03,1.03,0,
Hitching Post,8/13/2020 7:00,11.47,55.54,11.20,34.00,1.05,1.05,0,
Hitching Post,8/13/2020 8:00,11.48,55.71,11.19,37.49,1.06,1.06,0,
Hitching Post,8/13/2020 9:00,11.47,56.92,11.19,44.92,1.06,1.06,0,
Hitching Post,8/13/2020 10:00,11.47,58.99,11.19,54.67,1.05,1.05,0,
Hitching Post,8/13/2020 11:00,11.46,61.40,11.18,67.74,1.03,1.03,0,
Hitching Post,8/13/2020 12:00,11.45,63.63,11.17,79.33,1.02,1.02,0,
Hitching Post,8/13/2020 13:00,11.44,65.34,11.16,87.19,1.01,1.01,0,
Hitching Post,8/13/2020 14:00,11.43,66.37,11.15,98.50,0.98,0.98,0,
Hitching Post,8/13/2020 15:00,11.42,66.54,11.14,97.14,0.96,0.96,0,
Hitching Post,8/13/2020 16:00,11.42,65.85,11.14,99.69,0.95,0.95,0,
Hitching Post,8/13/2020 17:00,11.41,64.31,11.13,90.12,0.94,0.94,0,
Hitching Post,8/13/2020 18:00,11.42,62.60,11.13,81.09,0.94,0.94,0,
Hitching Post,8/13/2020 19:00,11.41,61.40,11.13,76.88,0.93,0.93,0,
Hitching Post,8/13/2020 20:00,11.42,60.54,11.14,69.79,0.95,0.95,0,
Hitching Post,8/13/2020 21:00,11.43,59.51,11.15,61.40,0.95,0.95,0,
Hitching Post,8/13/2020 22:00,11.43,58.82,11.15,53.62,0.97,0.97,0,
Hitching Post,8/13/2020 23:00,11.43,58.48,11.15,48.87,0.97,0.97,0,
Hitching Post,8/14/2020 0:00,11.44,58.13,11.16,46.73,0.98,0.98,0,
Hitching Post,8/14/2020 1:00,11.44,57.79,11.16,44.56,0.99,0.99,0,
Hitching Post,8/14/2020 2:00,11.45,57.61,11.16,40.88,1.00,1.00,0,
Hitching Post,8/14/2020 3:00,11.45,57.27,11.17,38.63,1.01,1.01,0,
Hitching Post,8/14/2020 4:00,11.46,56.92,11.17,35.18,1.02,1.02,0,
Hitching Post,8/14/2020 5:00,11.46,56.40,11.18,34.79,1.02,1.02,0,
Hitching Post,8/14/2020 6:00,11.46,56.06,11.18,33.01,1.03,1.03,0,
Hitching Post,8/14/2020 7:00,11.47,55.71,11.19,32.82,1.05,1.05,0,
Hitching Post,8/14/2020 8:00,11.47,55.88,11.19,36.15,1.06,1.06,0,
Hitching Post,8/14/2020 9:00,11.47,57.10,11.19,44.56,1.06,1.06,0,
Hitching Post,8/14/2020 10:00,11.47,59.16,11.19,54.32,1.06,1.06,0,
Hitching Post,8/14/2020 11:00,11.47,61.40,11.18,68.42,1.06,1.06,0,
Hitching Post,8/14/2020 12:00,11.46,63.63,11.18,79.85,1.05,1.05,0,
Hitching Post,8/14/2020 13:00,11.46,65.17,11.17,86.64,1.04,1.04,0,
Hitching Post,8/14/2020 14:00,11.45,66.19,11.17,99.09,1.03,1.03,0,
Hitching Post,8/14/2020 15:00,11.45,66.19,11.16,100.88,1.02,1.02,0,
Hitching Post,8/14/2020 16:00,11.44,66.19,11.16,103.31,1.01,1.01,0,
Hitching Post,8/14/2020 17:00,11.43,65.34,11.15,94.06,0.99,0.99,0,
Hitching Post,8/14/2020 18:00,11.44,64.14,11.15,82.33,0.99,0.99,0,
Hitching Post,8/14/2020 19:00,11.44,62.25,11.15,76.88,0.99,0.99,0,
Hitching Post,8/14/2020 20:00,11.45,61.05,11.15,69.28,1.00,1.00,0,
Hitching Post,8/14/2020 21:00,11.45,60.02,11.16,60.37,1.02,1.02,0,
Hitching Post,8/14/2020 22:00,11.46,59.34,11.17,54.84,1.03,1.03,0,
Hitching Post,8/14/2020 23:00,11.46,58.82,11.17,49.23,1.03,1.03,0,
Hitching Post,8/15/2020 0:00,11.46,58.48,11.17,45.10,1.03,1.03,0,
Hitching Post,8/15/2020 1:00,11.46,57.96,11.18,43.47,1.04,1.04,0,
Hitching Post,8/15/2020 2:00,11.47,57.79,11.18,41.81,1.04,1.04,0,
Hitching Post,8/15/2020 3:00,11.47,57.44,11.19,38.82,1.06,1.06,0,
Hitching Post,8/15/2020 4:00,11.48,57.10,11.19,36.15,1.07,1.07,0,
Hitching Post,8/15/2020 5:00,11.48,56.75,11.20,35.76,1.08,1.08,0,
Hitching Post,8/15/2020 6:00,11.49,56.40,11.20,33.61,1.10,1.10,0,
Hitching Post,8/15/2020 7:00,11.50,56.06,11.21,33.41,1.13,1.13,0,
Hitching Post,8/15/2020 8:00,11.51,56.23,11.22,37.11,1.13,1.13,0,
Hitching Post,8/15/2020 9:00,11.50,57.61,11.21,44.92,1.12,1.12,0,
Hitching Post,8/15/2020 10:00,11.50,59.68,11.21,54.84,1.12,1.12,0,
Hitching Post,8/15/2020 11:00,11.49,61.91,11.20,68.93,1.10,1.10,0,
Hitching Post,8/15/2020 12:00,11.48,63.97,11.19,78.98,1.10,1.10,0,
Hitching Post,8/15/2020 13:00,11.48,65.34,11.19,86.10,1.09,1.09,0,
Hitching Post,8/15/2020 14:00,11.47,66.02,11.19,95.98,1.07,1.07,0,
Hitching Post,8/15/2020 15:00,11.46,66.19,11.18,99.89,1.05,1.05,0,
Hitching Post,8/15/2020 16:00,11.45,66.02,11.17,102.90,1.03,1.03,0,
Hitching Post,8/15/2020 17:00,11.45,65.17,11.17,93.49,1.03,1.03,0,
Hitching Post,8/15/2020 18:00,11.45,63.63,11.17,80.91,1.02,1.02,0,
Hitching Post,8/15/2020 19:00,11.45,61.91,11.17,77.57,1.02,1.02,0,
Hitching Post,8/15/2020 20:00,11.46,60.54,11.18,68.08,1.03,1.03,0,
Hitching Post,8/15/2020 21:00,11.47,59.34,11.19,58.48,1.06,1.06,0,
Hitching Post,8/15/2020 22:00,11.48,58.65,11.20,52.75,1.08,1.08,0,
Hitching Post,8/15/2020 23:00,11.49,58.30,11.21,48.87,1.09,1.09,0,
Hitching Post,8/16/2020 0:00,11.48,57.96,11.21,44.38,1.09,1.09,0,
Hitching Post,8/16/2020 1:00,11.49,57.61,11.21,41.99,1.10,1.10,0,
Hitching Post,8/16/2020 2:00,11.49,57.27,11.21,40.32,1.11,1.11,0,
Hitching Post,8/16/2020 3:00,11.49,56.92,11.22,39.20,1.11,1.11,0,
Hitching Post,8/16/2020 4:00,11.50,56.58,11.22,37.30,1.12,1.12,0,
Hitching Post,8/16/2020 5:00,11.51,56.40,11.23,34.79,1.14,1.14,0,
Hitching Post,8/16/2020 6:00,11.52,55.88,11.24,33.81,1.16,1.16,0,
Hitching Post,8/16/2020 7:00,11.53,55.71,11.24,33.21,1.18,1.18,0,
Hitching Post,8/16/2020 8:00,11.52,56.06,11.25,37.30,1.17,1.17,0,
Hitching Post,8/16/2020 9:00,11.52,57.10,11.24,44.01,1.17,1.17,0,
Hitching Post,8/16/2020 10:00,11.51,58.99,11.23,54.67,1.16,1.16,0,
Hitching Post,8/16/2020 11:00,11.50,61.40,11.23,67.91,1.14,1.14,0,
Hitching Post,8/16/2020 12:00,11.50,63.80,11.22,79.68,1.13,1.13,0,
Hitching Post,8/16/2020 13:00,11.50,65.51,11.21,89.76,1.13,1.13,0,
Hitching Post,8/16/2020 14:00,11.49,66.88,11.21,101.08,1.12,1.12,0,
Hitching Post,8/16/2020 15:00,11.48,67.56,11.20,106.41,1.11,1.11,0,
Hitching Post,8/16/2020 16:00,11.48,67.56,11.20,109.61,1.09,1.09,0,
Hitching Post,8/16/2020 17:00,11.47,67.05,11.19,103.72,1.08,1.08,0,
Hitching Post,8/16/2020 18:00,11.47,65.34,11.18,85.92,1.06,1.06,0,
Hitching Post,8/16/2020 19:00,11.47,63.46,11.18,78.10,1.06,1.06,0,
Hitching Post,8/16/2020 20:00,11.48,62.08,11.20,71.51,1.09,1.09,0,
Hitching Post,8/16/2020 21:00,11.50,61.05,11.21,63.97,1.13,1.13,0,
Hitching Post,8/16/2020 22:00,11.51,60.37,11.22,60.88,1.14,1.14,0,
Hitching Post,8/16/2020 23:00,11.51,59.85,11.22,57.44,1.15,1.15,0,
Hitching Post,8/17/2020 0:00,11.52,59.34,11.23,53.27,1.16,1.16,0,
Hitching Post,8/17/2020 1:00,11.52,59.16,11.24,51.52,1.18,1.18,0,
Hitching Post,8/17/2020 2:00,11.52,58.65,11.24,49.05,1.17,1.17,0,
Hitching Post,8/17/2020 3:00,11.52,58.30,11.24,46.19,1.17,1.17,0,
Hitching Post,8/17/2020 4:00,11.53,58.13,11.24,44.74,1.19,1.19,0,
Hitching Post,8/17/2020 5:00,11.53,57.96,11.24,42.18,1.19,1.19,0,
Hitching Post,8/17/2020 6:00,11.53,57.61,11.25,41.25,1.20,1.20,0,
Hitching Post,8/17/2020 7:00,11.54,57.44,11.26,41.07,1.21,1.21,0,
Hitching Post,8/17/2020 8:00,11.54,57.79,11.26,44.92,1.22,1.22,0,
Hitching Post,8/17/2020 9:00,11.54,58.82,11.25,52.05,1.22,1.22,0,
Hitching Post,8/17/2020 10:00,11.53,60.71,11.25,61.23,1.20,1.20,0,
Hitching Post,8/17/2020 11:00,11.52,62.94,11.24,72.37,1.19,1.19,0,
Hitching Post,8/17/2020 12:00,11.52,65.17,11.23,82.69,1.18,1.18,0,
Hitching Post,8/17/2020 13:00,11.51,66.54,11.23,90.50,1.17,1.17,0,
Hitching Post,8/17/2020 14:00,11.50,67.74,11.22,101.08,1.16,1.16,0,
Hitching Post,8/17/2020 15:00,11.50,66.88,11.21,96.36,1.14,1.14,0,
Hitching Post,8/17/2020 16:00,11.49,65.51,11.20,91.24,1.12,1.12,0,
Hitching Post,8/17/2020 17:00,11.48,65.34,11.20,91.99,1.11,1.11,0,
Hitching Post,8/17/2020 18:00,11.48,64.65,11.19,79.85,1.10,1.10,0,
Hitching Post,8/17/2020 19:00,11.48,63.28,11.20,76.35,1.10,1.10,0,
Hitching Post,8/17/2020 20:00,11.49,62.25,11.21,70.31,1.11,1.11,0,
Hitching Post,8/17/2020 21:00,11.50,61.57,11.21,64.48,1.13,1.13,0,
Hitching Post,8/17/2020 22:00,11.50,61.05,11.22,59.16,1.14,1.14,0,
Hitching Post,8/17/2020 23:00,11.51,60.54,11.22,55.54,1.15,1.15,0,
Hitching Post,8/18/2020 0:00,11.51,60.02,11.23,52.75,1.14,1.14,0,
Hitching Post,8/18/2020 1:00,11.51,59.68,11.23,50.64,1.16,1.16,0,
Hitching Post,8/18/2020 2:00,11.51,59.16,11.23,48.87,1.15,1.15,0,
Hitching Post,8/18/2020 3:00,11.51,58.99,11.23,45.65,1.15,1.15,0,
Hitching Post,8/18/2020 4:00,11.51,58.65,11.23,44.92,1.15,1.15,0,
Hitching Post,8/18/2020 5:00,11.52,58.30,11.23,42.55,1.16,1.16,0,
Hitching Post,8/18/2020 6:00,11.52,57.96,11.24,41.44,1.17,1.17,0,
Hitching Post,8/18/2020 7:00,11.53,57.79,11.24,40.88,1.18,1.18,0,
Hitching Post,8/18/2020 8:00,11.53,57.96,11.25,44.56,1.19,1.19,0,
Hitching Post,8/18/2020 9:00,11.52,59.34,11.24,51.00,1.18,1.18,0,
Hitching Post,8/18/2020 10:00,11.51,61.23,11.23,60.37,1.15,1.15,0,
Hitching Post,8/18/2020 11:00,11.50,63.46,11.22,72.37,1.14,1.14,0,
Hitching Post,8/18/2020 12:00,11.49,65.51,11.21,83.22,1.12,1.12,0,
Hitching Post,8/18/2020 13:00,11.48,65.85,11.20,86.82,1.09,1.09,0,
Hitching Post,8/18/2020 14:00,11.47,66.37,11.19,92.74,1.07,1.07,0,
Hitching Post,8/18/2020 15:00,11.46,65.68,11.18,89.02,1.06,1.06,0,
Hitching Post,8/18/2020 16:00,11.46,64.65,11.18,83.40,1.05,1.05,0,
Hitching Post,8/18/2020 17:00,11.45,63.63,11.17,83.94,1.02,1.02,0,
Hitching Post,8/18/2020 18:00,11.45,62.25,11.17,78.27,1.03,1.03,0,
Hitching Post,8/18/2020 19:00,11.45,61.23,11.17,73.93,1.03,1.03,0,
Hitching Post,8/18/2020 20:00,11.46,60.54,11.17,67.74,1.03,1.03,0,
Hitching Post,8/18/2020 21:00,11.46,60.20,11.18,60.37,1.03,1.03,0,
Hitching Post,8/18/2020 22:00,11.46,59.51,11.18,55.54,1.04,1.04,0,
Hitching Post,8/18/2020 23:00,11.47,58.99,11.19,52.58,1.05,1.05,0,
Hitching Post,8/19/2020 0:00,11.46,58.48,11.19,52.75,1.04,1.04,0,
Hitching Post,8/19/2020 1:00,11.47,58.30,11.19,49.58,1.05,1.05,0,
Hitching Post,8/19/2020 2:00,11.46,57.96,11.19,47.27,1.04,1.04,0,
Hitching Post,8/19/2020 3:00,11.46,57.79,11.18,45.47,1.03,1.03,0,
Hitching Post,8/19/2020 4:00,11.46,57.44,11.19,45.83,1.03,1.03,0,
Hitching Post,8/19/2020 5:00,11.46,57.27,11.18,43.83,1.04,1.04,0,
Hitching Post,8/19/2020 6:00,11.47,56.92,11.19,41.81,1.04,1.04,0,
Hitching Post,8/19/2020 7:00,11.47,56.58,11.20,40.88,1.05,1.05,0,
Hitching Post,8/19/2020 8:00,11.47,56.92,11.20,43.83,1.06,1.06,0,
Hitching Post,8/19/2020 9:00,11.47,57.96,11.19,50.64,1.05,1.05,0,
Hitching Post,8/19/2020 10:00,11.46,59.85,11.19,59.68,1.05,1.05,0,
Hitching Post,8/19/2020 11:00,11.45,62.25,11.18,71.68,1.02,1.02,0,
Hitching Post,8/19/2020 12:00,11.44,63.97,11.17,81.98,1.00,1.00,0,
Hitching Post,8/19/2020 13:00,11.43,64.31,11.16,85.92,0.98,0.98,0,
Hitching Post,8/19/2020 14:00,11.43,62.60,11.15,75.14,0.97,0.97,0,
Hitching Post,8/19/2020 15:00,11.42,62.08,11.14,73.58,0.96,0.96,0,
Hitching Post,8/19/2020 16:00,11.42,61.91,11.15,71.68,0.95,0.95,0,
Hitching Post,8/19/2020 17:00,11.42,61.57,11.14,71.86,0.95,0.95,0,
Hitching Post,8/19/2020 18:00,11.41,61.40,11.13,72.37,0.93,0.93,0,
Hitching Post,8/19/2020 19:00,11.41,60.88,11.13,72.20,0.93,0.93,0,
Hitching Post,8/19/2020 20:00,11.42,60.02,11.14,66.71,0.94,0.94,0,
Hitching Post,8/19/2020 21:00,11.42,59.34,11.14,60.02,0.94,0.94,0,
Hitching Post,8/19/2020 22:00,11.43,58.65,11.15,54.15,0.95,0.95,0,
Hitching Post,8/19/2020 23:00,11.42,58.13,11.14,51.17,0.94,0.94,0,
Hitching Post,8/20/2020 0:00,11.43,57.61,11.15,48.70,0.95,0.95,0,
Hitching Post,8/20/2020 1:00,11.43,57.27,11.15,48.87,0.95,0.95,0,
Hitching Post,8/20/2020 2:00,11.42,56.92,11.15,45.65,0.95,0.95,0,
Hitching Post,8/20/2020 3:00,11.42,56.58,11.15,44.20,0.95,0.95,0,
Hitching Post,8/20/2020 4:00,11.43,56.23,11.15,41.99,0.95,0.95,0,
Hitching Post,8/20/2020 5:00,11.42,55.71,11.14,40.70,0.94,0.94,0,
